Entity,Code,Year,Coal_Output_BEIS_2020,Coal_imports_BEIS_2020
United Kingdom,GBR,1700,2000000,
United Kingdom,GBR,1750,5000000,
United Kingdom,GBR,1800,10000000,
United Kingdom,GBR,1825,24000000,
United Kingdom,GBR,1853,71511160,
United Kingdom,GBR,1863,106193336,
United Kingdom,GBR,1873,140296392,
United Kingdom,GBR,1883,172640752,
United Kingdom,GBR,1893,206576168,
United Kingdom,GBR,1903,258046727.99999997,
United Kingdom,GBR,1913,292028880,
United Kingdom,GBR,1914,269914624,
United Kingdom,GBR,1915,257257296,
United Kingdom,GBR,1916,260476999.99999997,
United Kingdom,GBR,1917,252474984,
United Kingdom,GBR,1918,231392984,
United Kingdom,GBR,1919,233456480,
United Kingdom,GBR,1920,233204512,
United Kingdom,GBR,1921,165863016,
United Kingdom,GBR,1922,253600712,
United Kingdom,GBR,1923,280417016,
United Kingdom,GBR,1924,271391888,
United Kingdom,GBR,1925,247066816,
United Kingdom,GBR,1926,128299464,
United Kingdom,GBR,1927,255251712,
United Kingdom,GBR,1928,241271552,
United Kingdom,GBR,1929,262033511.99999997,
United Kingdom,GBR,1930,247784112,
United Kingdom,GBR,1931,222970344,
United Kingdom,GBR,1932,212072728,
United Kingdom,GBR,1933,210425792,
United Kingdom,GBR,1934,224257616,
United Kingdom,GBR,1935,225804984,
United Kingdom,GBR,1936,232103168,
United Kingdom,GBR,1937,244255544,
United Kingdom,GBR,1938,230624888,
United Kingdom,GBR,1939,235039408,
United Kingdom,GBR,1940,227887784,
United Kingdom,GBR,1941,209645504,
United Kingdom,GBR,1942,208223104,
United Kingdom,GBR,1943,202102720,
United Kingdom,GBR,1944,195831968,
United Kingdom,GBR,1945,185699400,
United Kingdom,GBR,1946,193109900.79999998,
United Kingdom,GBR,1947,200050400,
United Kingdom,GBR,1948,210312000,
United Kingdom,GBR,1949,218338400,
United Kingdom,GBR,1950,219456000,
United Kingdom,GBR,1951,226161600,
United Kingdom,GBR,1952,228498400,
United Kingdom,GBR,1953,227076000,
United Kingdom,GBR,1954,227380800,
United Kingdom,GBR,1955,225653600,
United Kingdom,GBR,1956,226060000,
United Kingdom,GBR,1957,227787200,
United Kingdom,GBR,1958,219760800,
United Kingdom,GBR,1959,210108800,
United Kingdom,GBR,1960,197831000,
United Kingdom,GBR,1961,195047000,
United Kingdom,GBR,1962,202639000,
United Kingdom,GBR,1963,200462000,
United Kingdom,GBR,1964,198056000,
United Kingdom,GBR,1965,191627000,
United Kingdom,GBR,1966,179909000,
United Kingdom,GBR,1967,177651000,
United Kingdom,GBR,1968,169920000,
United Kingdom,GBR,1969,155694000,
United Kingdom,GBR,1970,147195000,79000
United Kingdom,GBR,1971,153683000,4241000
United Kingdom,GBR,1972,126834000,4998000
United Kingdom,GBR,1973,131984000.00000001,1675000
United Kingdom,GBR,1974,110452000,3547000
United Kingdom,GBR,1975,128683000,5083000
United Kingdom,GBR,1976,123801000,2837000
United Kingdom,GBR,1977,122150000,2439000
United Kingdom,GBR,1978,123577000,2352000
United Kingdom,GBR,1979,122369000,4375000
United Kingdom,GBR,1980,130097000.00000001,7334000
United Kingdom,GBR,1981,127469000,4290000
United Kingdom,GBR,1982,124711000,4062999.9999999995
United Kingdom,GBR,1983,119254000,4456000
United Kingdom,GBR,1984,51182000,8894000
United Kingdom,GBR,1985,94111000,12732000
United Kingdom,GBR,1986,108099000,10554000
United Kingdom,GBR,1987,104533000,9781000
United Kingdom,GBR,1988,104066000,11685000
United Kingdom,GBR,1989,99820000,12137000
United Kingdom,GBR,1990,92762000,14783000
United Kingdom,GBR,1991,94202000,19611000
United Kingdom,GBR,1992,84493000,20339000
United Kingdom,GBR,1993,68199000,18400000
United Kingdom,GBR,1994,49785000,15088000
United Kingdom,GBR,1995,53037000,15896000
United Kingdom,GBR,1996,50197000,17799363.02
United Kingdom,GBR,1997,48495000,19757000
United Kingdom,GBR,1998,41177000,21244000
United Kingdom,GBR,1999,37077000,20293000
United Kingdom,GBR,2000,31197582.669999998,23445900.67
United Kingdom,GBR,2001,31929856,35542182.63
United Kingdom,GBR,2002,29989155,28686214.82
United Kingdom,GBR,2003,28279000,31891144.16
United Kingdom,GBR,2004,25096057,36152810.57
United Kingdom,GBR,2005,20498293,43968490.29
United Kingdom,GBR,2006,18517162,50528068.910000004
United Kingdom,GBR,2007,17007227,43364120.36
United Kingdom,GBR,2008,18053242.569999997,43875315.51
United Kingdom,GBR,2009,17873633.82,38166842.010000005
United Kingdom,GBR,2010,18346630.37,26540735.67
United Kingdom,GBR,2011,18551978.21,32527389.43
United Kingdom,GBR,2012,16966667.06,44815163.839999996
United Kingdom,GBR,2013,12767445.61,50611161.95999999
United Kingdom,GBR,2014,11647611.79,42224994.75
United Kingdom,GBR,2015,8598017.523,22518072.22
United Kingdom,GBR,2016,4177796.4299999997,8913717.77
United Kingdom,GBR,2017,3041064.4859999996,8497918.279000001
United Kingdom,GBR,2018,2580054.016,10144233.1
United Kingdom,GBR,2019,2166397.2939999998,6528985.144
United Kingdom,GBR,2020,1700000,4531000
United Kingdom,GBR,2021,1100000,4608000
